date, pm25, pm10, o3, no2, so2, co
2024/11/1, 15, 46, 51, 11, 3, 7
2024/11/2, 103, 61, 65, 16, 3, 7
2024/11/3, 142, 58, 64, 15, 3, 7
2024/11/4, 139, 26, 34, 10, 3, 4
2024/11/5, 44, 26, 35, 14, 3, 4
2024/11/6, 46, 26, 28, 16, 3, 3
2024/11/7, 40, 27, 34, 16, 3, 4
2024/11/8, 41, 30, 33, 11, 3, 4
2024/11/9, 44, 35, 36, 11, 3, 6
2024/11/10, 70, 41, 42, 16, 3, 6
2024/11/11, 106, 39, 40, 19, 3, 5
2024/11/12, 89, 43, 45, 18, 3, 5
2024/11/13, 112, 35, 29, 16, 3, 5
2024/11/14, 79, 37, 13, 17, 3, 6
2024/11/15, 97, 37, 33, 13, 2, 6
2024/11/16, 102, 21, 28, 9, 3, 5
2024/11/17, 48, 20, 29, 6, , 
2024/11/18, 24, , , , , 
2024/10/1, 31, 29, 43, 7, 2, 3
2024/10/2, 38, 22, 42, 8, 2, 3
2024/10/3, 33, 21, 44, 9, 2, 3
2024/10/4, 38, 18, 38, 7, 2, 3
2024/10/5, 24, 27, 29, 9, , 4
2024/10/6, 45, 11, 38, 7, 2, 4
2024/10/7, 27, 33, 46, 10, 2, 6
2024/10/8, 91, 33, 54, 14, 2, 5
2024/10/9, 77, 57, 90, 21, 3, 8
2024/10/10, 145, 60, 80, 24, 2, 7
2024/10/11, 138, 50, 60, 15, 2, 5
2024/10/12, 115, 20, 49, 11, 2, 4
2024/10/13, 44, 38, 41, 15, 3, 6
2024/10/14, 67, 52, 25, 20, 2, 8
2024/10/15, 117, 30, 29, 15, 2, 5
2024/10/16, 85, 29, 38, 12, 2, 5
2024/10/17, 65, 37, 62, 11, 2, 5
2024/10/18, 78, 22, 30, 8, 2, 4
2024/10/19, 48, 35, 25, 11, 2, 4
2024/10/20, 44, 28, 15, 15, 2, 7
2024/10/21, 66, 39, 24, 14, 2, 9
2024/10/22, 105, 34, 33, 11, 2, 5
2024/10/23, 97, 23, 39, 13, 2, 4
